iter	Passed	Remaining
617	3602	2226
618	3606	2220
619	3612	2214
620	3617	2207
621	3622	2201
622	3628	2195
623	3633	2189
624	3638	2183
625	3644	2177
626	3649	2171
627	3654	2164
628	3659	2158
629	3664	2151
630	3669	2145
631	3674	2139
632	3679	2133
633	3684	2126
634	3689	2120
635	3694	2114
636	3699	2108
637	3704	2101
638	3710	2096
639	3715	2090
640	3720	2083
641	3726	2078
642	3732	2072
643	3737	2066
644	3743	2060
645	3748	2054
646	3753	2047
647	3758	2041
648	3762	2035
649	3767	2028
650	3773	2022
651	3777	2016
652	3782	2010
653	3787	2003
654	3792	1997
655	3797	1991
656	3802	1985
657	3807	1978
658	3812	1972
659	3817	1966
660	3822	1960
661	3826	1953
662	3831	1947
663	3837	1942
664	3842	1935
665	3847	1929
666	3852	1923
667	3857	1917
668	3862	1910
669	3867	1904
670	3871	1898
671	3876	1892
672	3880	1885
673	3885	1879
674	3890	1873
675	3895	1866
676	3901	1861
677	3906	1855
678	3910	1848
679	3916	1843
680	3921	1836
681	3926	1830
682	3937	1827
683	3942	1821
684	3947	1815
685	3952	1809
686	3957	1802
687	3962	1796
688	3966	1790
689	3971	1784
690	3975	1777
691	3981	1771
692	3985	1765
693	3990	1759
694	3995	1753
695	3999	1747
696	4004	1740
697	4009	1734
698	4014	1728
699	4018	1722
700	4023	1716
701	4028	1710
702	4033	1704
703	4038	1697
704	4043	1691
705	4048	1685
706	4052	1679
707	4057	1673
708	4062	1667
709	4066	1661
710	4071	1654
711	4076	1648
712	4080	1642
713	4085	1636
714	4090	1630
715	4095	1624
716	4101	1618
717	4105	1612
718	4110	1606
719	4115	1600
720	4120	1594
721	4125	1588
722	4131	1582
723	4137	1577
724	4142	1571
725	4146	1565
726	4151	1558
727	4156	1552
728	4160	1546
729	4165	1540
730	4170	1534
731	4175	1528
732	4179	1522
733	4184	1516
734	4189	1510
735	4193	1504
736	4198	1498
737	4203	1492
738	4207	1486
739	4212	1480
740	4217	1474
741	4222	1468
742	4226	1461
743	4231	1455
744	4236	1450
745	4241	1444
746	4246	1438
747	4251	1432
748	4255	1426
749	4259	1419
750	4264	1413
751	4269	1408
752	4273	1401
753	4278	1395
754	4283	1390
755	4289	1384
756	4294	1378
757	4299	1372
758	4304	1366
759	4309	1360
760	4314	1355
761	4320	1349
762	4324	1343
763	4329	1337
764	4334	1331
765	4340	1325
766	4345	1319
767	4349	1314
768	4354	1308
769	4359	1302
770	4364	1296
771	4369	1290
772	4373	1284
773	4378	1278
774	4383	1272
775	4388	1266
776	4393	1260
777	4398	1255
778	4402	1249
779	4407	1243
780	4412	1237
781	4417	1231
782	4422	1225
783	4427	1219
784	4431	1213
785	4436	1207
786	4441	1201
787	4446	1196
788	4450	1190
789	4455	1184
790	4460	1178
791	4465	1172
792	4469	1166
793	4475	1161
794	4480	1155
795	4486	1149
796	4493	1144
797	4507	1140
798	4514	1135
799	4520	1130
800	4526	1124
801	4531	1118
802	4536	1112
803	4541	1107
804	4546	1101
805	4551	1095
806	4557	1089
807	4562	1084
808	4567	1078
809	4573	1072
810	4578	1067
811	4583	1061
812	4588	1055
813	4593	1049
814	4598	1043
815	4604	1038
816	4609	1032
817	4614	1026
818	4619	1021
819	4625	1015
820	4629	1009
821	4634	1003
822	4639	997
823	4644	991
824	4648	986
825	4654	980
826	4658	974
827	4663	968
828	4668	963
829	4673	957
830	4678	951
831	4683	945
832	4688	939
833	4693	934
834	4699	928
835	4704	922
836	4710	917
837	4716	911
838	4721	905
839	4726	900
840	4732	894
841	4737	888
842	4741	883
843	4747	877
844	4752	871
845	4756	865
846	4761	860
847	4766	854
848	4771	848
849	4775	842
850	4780	837
851	4785	831
852	4790	825
853	4795	819
854	4800	814
855	4804	808
856	4809	802
857	4814	796
858	4819	791
859	4824	785
860	4829	779
861	4834	773
862	4838	768
863	4843	762
864	4848	756
865	4852	750
866	4857	745
867	4863	739
868	4867	733
869	4872	728
870	4878	722
871	4883	716
872	4888	711
873	4894	705
874	4899	699
875	4904	694
876	4910	688
877	4915	683
878	4920	677
879	4925	671
880	4930	666
881	4935	660
882	4940	654
883	4945	648
884	4950	643
885	4955	637
886	4960	631
887	4964	626
888	4969	620
889	4974	614
890	4979	609
891	4983	603
892	4989	597
893	4993	592
894	4998	586
895	5004	580
896	5008	575
897	5013	569
898	5018	563
899	5023	558
900	5028	552
901	5033	546
902	5038	541
903	5042	535
904	5047	529
905	5052	524
906	5057	518
907	5062	512
908	5067	507
909	5072	501
910	5076	495
911	5081	490
912	5086	484
913	5091	479
914	5096	473
915	5102	467
916	5108	462
917	5113	456
918	5119	451
919	5123	445
920	5128	439
921	5133	434
922	5138	428
923	5143	423
924	5148	417
925	5153	411
926	5157	406
927	5163	400
928	5168	394
929	5172	389
930	5177	383
931	5182	378
932	5187	372
933	5192	366
934	5198	361
935	5203	355
936	5208	350
937	5214	344
938	5219	339
939	5224	333
940	5229	327
941	5234	322
942	5239	316
943	5245	311
944	5250	305
945	5255	300
946	5261	294
947	5266	288
948	5271	283
949	5277	277
950	5281	272
951	5286	266
952	5292	260
953	5297	255
954	5302	249
955	5308	244
956	5314	238
957	5319	233
958	5324	227
959	5329	222
960	5334	216
961	5340	210
962	5345	205
963	5350	199
964	5355	194
965	5362	188
966	5367	183
967	5373	177
968	5378	172
969	5383	166
970	5388	160
971	5393	155
972	5397	149
973	5403	144
974	5408	138
975	5413	133
976	5418	127
977	5423	122
978	5428	116
979	5432	110
980	5438	105
981	5442	99
982	5446	94
983	5451	88
984	5456	83
985	5461	77
986	5466	71
987	5470	66
988	5475	60
989	5480	55
990	5485	49
991	5490	44
992	5495	38
993	5501	33
994	5506	27
995	5511	22
996	5516	16
997	5520	11
998	5525	5
999	5533	0
